model,step,variant,eval_config,subset,accuracy,count,extracted,path
AO,1500,noema,mot,AI2ThorPT2P_dh_midpoint,79.62962962962963,162,162,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0001500_full_noema/eval/bagel_mot/bagel_mot_AI2ThorPT2P_dh_midpoint.xlsx
AO,1500,noema,mot,AI2ThorPT2P_td_ego_dir,68.9969604863222,329,329,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0001500_full_noema/eval/bagel_mot/bagel_mot_AI2ThorPT2P_td_ego_dir.xlsx
AO,1500,noema,mot,AI2ThorPT2P_td_ego_dir_arrow,67.06231454005935,337,337,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0001500_full_noema/eval/bagel_mot/bagel_mot_AI2ThorPT2P_td_ego_dir_arrow.xlsx
AO,1500,noema,mot,AI2ThorPT2P_td_ego_side,67.65432098765433,405,405,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0001500_full_noema/eval/bagel_mot/bagel_mot_AI2ThorPT2P_td_ego_side.xlsx
AO,1500,noema,mot,AI2ThorPT2P_td_ego_side_arrow,66.75977653631286,358,358,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0001500_full_noema/eval/bagel_mot/bagel_mot_AI2ThorPT2P_td_ego_side_arrow.xlsx
AO,1500,noema,mot,AI2ThorPT2P_td_midpoint,72.72727272727273,242,242,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0001500_full_noema/eval/bagel_mot/bagel_mot_AI2ThorPT2P_td_midpoint.xlsx
AO,1500,noema,mot,AI2ThorPT2P_td_path,70.48872180451127,532,532,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0001500_full_noema/eval/bagel_mot/bagel_mot_AI2ThorPT2P_td_path.xlsx
AO,1500,noema,mot,AI2ThorPT2P_td_path_arrow,70.01763668430335,567,567,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0001500_full_noema/eval/bagel_mot/bagel_mot_AI2ThorPT2P_td_path_arrow.xlsx
AO,1500,noema,mot,AI2ThorPathTracing,68.45965770171149,409,409,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0001500_full_noema/eval/bagel_mot/bagel_mot_AI2ThorPathTracing.xlsx
AO,1500,noema,mot,AI2ThorPerspective_Arrow,52.27922135567197,278,278,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0001500_full_noema/eval/bagel_mot/bagel_mot_AI2ThorPerspective_Arrow.xlsx
AO,1500,noema,mot,AI2ThorPerspective_NoArrow,53.13292915618226,278,278,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0001500_full_noema/eval/bagel_mot/bagel_mot_AI2ThorPerspective_NoArrow.xlsx
AO,2400,ema,mot,AI2ThorPT2P_dh_midpoint,55.55555555555556,162,148,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0002400_full_ema/eval/bagel_mot/bagel_mot_AI2ThorPT2P_dh_midpoint.xlsx
AO,2400,ema,mot,AI2ThorPT2P_td_path,34.774436090225564,532,455,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0002400_full_ema/eval/bagel_mot/bagel_mot_AI2ThorPT2P_td_path.xlsx
AO,2400,noema,mot,AI2ThorPT2P_dh_midpoint,74.69135802469135,162,162,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0002400_full_noema/eval/bagel_mot/bagel_mot_AI2ThorPT2P_dh_midpoint.xlsx
AO,2400,noema,mot,AI2ThorPT2P_td_path,74.06015037593986,532,532,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0002400_full_noema/eval/bagel_mot/bagel_mot_AI2ThorPT2P_td_path.xlsx
AO,2400,noema,mot,AI2ThorPT2P_td_path_arrow,74.07407407407408,567,567,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0002400_full_noema/eval/bagel_mot/bagel_mot_AI2ThorPT2P_td_path_arrow.xlsx
AO,3000,ema,mot,AI2ThorPT2P_dh_midpoint,56.17283950617284,162,145,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0003000_full_ema/eval/bagel_mot/bagel_mot_AI2ThorPT2P_dh_midpoint.xlsx
AO,3000,ema,mot,AI2ThorPT2P_td_ego_dir,45.59270516717325,329,329,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0003000_full_ema/eval/bagel_mot/bagel_mot_AI2ThorPT2P_td_ego_dir.xlsx
AO,3000,ema,mot,AI2ThorPT2P_td_ego_dir_arrow,52.22551928783383,337,337,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0003000_full_ema/eval/bagel_mot/bagel_mot_AI2ThorPT2P_td_ego_dir_arrow.xlsx
AO,3000,ema,mot,AI2ThorPT2P_td_ego_side,54.074074074074076,405,403,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0003000_full_ema/eval/bagel_mot/bagel_mot_AI2ThorPT2P_td_ego_side.xlsx
AO,3000,ema,mot,AI2ThorPT2P_td_ego_side_arrow,59.217877094972074,358,358,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0003000_full_ema/eval/bagel_mot/bagel_mot_AI2ThorPT2P_td_ego_side_arrow.xlsx
AO,3000,ema,mot,AI2ThorPT2P_td_midpoint,52.47933884297521,242,227,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0003000_full_ema/eval/bagel_mot/bagel_mot_AI2ThorPT2P_td_midpoint.xlsx
AO,3000,ema,mot,AI2ThorPT2P_td_path,33.08270676691729,532,484,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0003000_full_ema/eval/bagel_mot/bagel_mot_AI2ThorPT2P_td_path.xlsx
AO,3000,ema,mot,AI2ThorPT2P_td_path_arrow,35.44973544973545,567,509,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0003000_full_ema/eval/bagel_mot/bagel_mot_AI2ThorPT2P_td_path_arrow.xlsx
AO,3000,ema,mot,AI2ThorPathTracing,32.76283618581907,409,372,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0003000_full_ema/eval/bagel_mot/bagel_mot_AI2ThorPathTracing.xlsx
AO,3000,ema,mot,AI2ThorPerspective_Arrow,40.18101103806354,278,244,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0003000_full_ema/eval/bagel_mot/bagel_mot_AI2ThorPerspective_Arrow.xlsx
AO,3000,ema,mot,AI2ThorPerspective_NoArrow,39.65628773503536,278,225,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0003000_full_ema/eval/bagel_mot/bagel_mot_AI2ThorPerspective_NoArrow.xlsx
AO,3000,noema,mot,AI2ThorPT2P_dh_midpoint,74.07407407407408,162,162,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0003000_full_noema/eval/bagel_mot/bagel_mot_AI2ThorPT2P_dh_midpoint.xlsx
AO,3000,noema,mot,AI2ThorPT2P_td_ego_dir,69.90881458966565,329,329,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0003000_full_noema/eval/bagel_mot/bagel_mot_AI2ThorPT2P_td_ego_dir.xlsx
AO,3000,noema,mot,AI2ThorPT2P_td_ego_dir_arrow,69.13946587537092,337,337,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0003000_full_noema/eval/bagel_mot/bagel_mot_AI2ThorPT2P_td_ego_dir_arrow.xlsx
AO,3000,noema,mot,AI2ThorPT2P_td_ego_side,78.2716049382716,405,405,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0003000_full_noema/eval/bagel_mot/bagel_mot_AI2ThorPT2P_td_ego_side.xlsx
AO,3000,noema,mot,AI2ThorPT2P_td_ego_side_arrow,78.2122905027933,358,358,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0003000_full_noema/eval/bagel_mot/bagel_mot_AI2ThorPT2P_td_ego_side_arrow.xlsx
AO,3000,noema,mot,AI2ThorPT2P_td_midpoint,73.14049586776859,242,242,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0003000_full_noema/eval/bagel_mot/bagel_mot_AI2ThorPT2P_td_midpoint.xlsx
AO,3000,noema,mot,AI2ThorPT2P_td_path,77.06766917293233,532,532,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0003000_full_noema/eval/bagel_mot/bagel_mot_AI2ThorPT2P_td_path.xlsx
AO,3000,noema,mot,AI2ThorPT2P_td_path_arrow,76.89594356261023,567,567,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0003000_full_noema/eval/bagel_mot/bagel_mot_AI2ThorPT2P_td_path_arrow.xlsx
AO,3000,noema,mot,AI2ThorPathTracing,70.4156479217604,409,409,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0003000_full_noema/eval/bagel_mot/bagel_mot_AI2ThorPathTracing.xlsx
AO,3000,noema,mot,AI2ThorPerspective_Arrow,54.24567450641887,278,278,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0003000_full_noema/eval/bagel_mot/bagel_mot_AI2ThorPerspective_Arrow.xlsx
AO,3000,noema,mot,AI2ThorPerspective_NoArrow,53.40394047782775,278,278,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0003000_full_noema/eval/bagel_mot/bagel_mot_AI2ThorPerspective_NoArrow.xlsx
AO,4500,ema,mot,AI2ThorPT2P_dh_midpoint,62.34567901234568,162,156,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0004500_full_ema/eval/bagel_mot/bagel_mot_AI2ThorPT2P_dh_midpoint.xlsx
AO,4500,ema,mot,AI2ThorPT2P_td_ego_dir,55.92705167173252,329,329,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0004500_full_ema/eval/bagel_mot/bagel_mot_AI2ThorPT2P_td_ego_dir.xlsx
AO,4500,ema,mot,AI2ThorPT2P_td_ego_dir_arrow,61.12759643916914,337,337,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0004500_full_ema/eval/bagel_mot/bagel_mot_AI2ThorPT2P_td_ego_dir_arrow.xlsx
AO,4500,ema,mot,AI2ThorPT2P_td_ego_side,60.98765432098765,405,405,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0004500_full_ema/eval/bagel_mot/bagel_mot_AI2ThorPT2P_td_ego_side.xlsx
AO,4500,ema,mot,AI2ThorPT2P_td_ego_side_arrow,67.31843575418995,358,358,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0004500_full_ema/eval/bagel_mot/bagel_mot_AI2ThorPT2P_td_ego_side_arrow.xlsx
AO,4500,ema,mot,AI2ThorPT2P_td_midpoint,56.611570247933884,242,237,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0004500_full_ema/eval/bagel_mot/bagel_mot_AI2ThorPT2P_td_midpoint.xlsx
AO,4500,ema,mot,AI2ThorPT2P_td_path,38.90977443609023,532,505,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0004500_full_ema/eval/bagel_mot/bagel_mot_AI2ThorPT2P_td_path.xlsx
AO,4500,ema,mot,AI2ThorPT2P_td_path_arrow,45.67901234567901,567,539,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0004500_full_ema/eval/bagel_mot/bagel_mot_AI2ThorPT2P_td_path_arrow.xlsx
AO,4500,ema,mot,AI2ThorPathTracing,47.92176039119804,409,399,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0004500_full_ema/eval/bagel_mot/bagel_mot_AI2ThorPathTracing.xlsx
AO,4500,ema,mot,AI2ThorPerspective_Arrow,41.60852816142606,278,253,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0004500_full_ema/eval/bagel_mot/bagel_mot_AI2ThorPerspective_Arrow.xlsx
AO,4500,ema,mot,AI2ThorPerspective_NoArrow,44.78973350357219,278,237,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0004500_full_ema/eval/bagel_mot/bagel_mot_AI2ThorPerspective_NoArrow.xlsx
AO,4500,noema,mot,AI2ThorPT2P_dh_midpoint,75.92592592592592,162,162,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0004500_full_noema/eval/bagel_mot/bagel_mot_AI2ThorPT2P_dh_midpoint.xlsx
AO,4500,noema,mot,AI2ThorPT2P_td_ego_dir,73.55623100303951,329,329,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0004500_full_noema/eval/bagel_mot/bagel_mot_AI2ThorPT2P_td_ego_dir.xlsx
AO,4500,noema,mot,AI2ThorPT2P_td_ego_dir_arrow,71.2166172106825,337,337,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0004500_full_noema/eval/bagel_mot/bagel_mot_AI2ThorPT2P_td_ego_dir_arrow.xlsx
AO,4500,noema,mot,AI2ThorPT2P_td_ego_side,79.75308641975309,405,405,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0004500_full_noema/eval/bagel_mot/bagel_mot_AI2ThorPT2P_td_ego_side.xlsx
AO,4500,noema,mot,AI2ThorPT2P_td_ego_side_arrow,77.37430167597765,358,358,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0004500_full_noema/eval/bagel_mot/bagel_mot_AI2ThorPT2P_td_ego_side_arrow.xlsx
AO,4500,noema,mot,AI2ThorPT2P_td_midpoint,75.6198347107438,242,242,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0004500_full_noema/eval/bagel_mot/bagel_mot_AI2ThorPT2P_td_midpoint.xlsx
AO,4500,noema,mot,AI2ThorPT2P_td_path,78.7593984962406,532,532,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0004500_full_noema/eval/bagel_mot/bagel_mot_AI2ThorPT2P_td_path.xlsx
AO,4500,noema,mot,AI2ThorPT2P_td_path_arrow,77.60141093474427,567,567,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0004500_full_noema/eval/bagel_mot/bagel_mot_AI2ThorPT2P_td_path_arrow.xlsx
AO,4500,noema,mot,AI2ThorPathTracing,82.15158924205379,409,409,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0004500_full_noema/eval/bagel_mot/bagel_mot_AI2ThorPathTracing.xlsx
AO,4500,noema,mot,AI2ThorPerspective_Arrow,54.71553366706335,278,278,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0004500_full_noema/eval/bagel_mot/bagel_mot_AI2ThorPerspective_Arrow.xlsx
AO,4500,noema,mot,AI2ThorPerspective_NoArrow,53.76178336288526,278,278,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0004500_full_noema/eval/bagel_mot/bagel_mot_AI2ThorPerspective_NoArrow.xlsx
AO,6000,ema,mot,AI2ThorPT2P_dh_midpoint,80.8641975308642,162,162,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0006000_full_ema/eval/bagel_mot/bagel_mot_AI2ThorPT2P_dh_midpoint.xlsx
AO,6000,ema,mot,AI2ThorPT2P_td_ego_dir,66.8693009118541,329,329,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0006000_full_ema/eval/bagel_mot/bagel_mot_AI2ThorPT2P_td_ego_dir.xlsx
AO,6000,ema,mot,AI2ThorPT2P_td_ego_dir_arrow,67.65578635014838,337,337,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0006000_full_ema/eval/bagel_mot/bagel_mot_AI2ThorPT2P_td_ego_dir_arrow.xlsx
AO,6000,ema,mot,AI2ThorPT2P_td_ego_side,69.87654320987654,405,405,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0006000_full_ema/eval/bagel_mot/bagel_mot_AI2ThorPT2P_td_ego_side.xlsx
AO,6000,ema,mot,AI2ThorPT2P_td_ego_side_arrow,72.90502793296089,358,358,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0006000_full_ema/eval/bagel_mot/bagel_mot_AI2ThorPT2P_td_ego_side_arrow.xlsx
AO,6000,ema,mot,AI2ThorPT2P_td_midpoint,74.79338842975206,242,242,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0006000_full_ema/eval/bagel_mot/bagel_mot_AI2ThorPT2P_td_midpoint.xlsx
AO,6000,ema,mot,AI2ThorPT2P_td_path,67.85714285714286,532,532,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0006000_full_ema/eval/bagel_mot/bagel_mot_AI2ThorPT2P_td_path.xlsx
AO,6000,ema,mot,AI2ThorPT2P_td_path_arrow,70.01763668430335,567,567,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0006000_full_ema/eval/bagel_mot/bagel_mot_AI2ThorPT2P_td_path_arrow.xlsx
AO,6000,ema,mot,AI2ThorPathTracing,65.52567237163814,409,409,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0006000_full_ema/eval/bagel_mot/bagel_mot_AI2ThorPathTracing.xlsx
AO,6000,ema,mot,AI2ThorPerspective_Arrow,52.22543745880076,278,278,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0006000_full_ema/eval/bagel_mot/bagel_mot_AI2ThorPerspective_Arrow.xlsx
AO,6000,ema,mot,AI2ThorPerspective_NoArrow,50.53942360901647,278,278,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0006000_full_ema/eval/bagel_mot/bagel_mot_AI2ThorPerspective_NoArrow.xlsx
AO,6000,noema,mot,AI2ThorPT2P_dh_midpoint,80.8641975308642,162,162,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0006000_full_noema/eval/bagel_mot/bagel_mot_AI2ThorPT2P_dh_midpoint.xlsx
AO,6000,noema,mot,AI2ThorPT2P_td_ego_dir,74.16413373860182,329,329,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0006000_full_noema/eval/bagel_mot/bagel_mot_AI2ThorPT2P_td_ego_dir.xlsx
AO,6000,noema,mot,AI2ThorPT2P_td_ego_dir_arrow,73.59050445103857,337,337,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0006000_full_noema/eval/bagel_mot/bagel_mot_AI2ThorPT2P_td_ego_dir_arrow.xlsx
AO,6000,noema,mot,AI2ThorPT2P_td_ego_side,80.74074074074075,405,405,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0006000_full_noema/eval/bagel_mot/bagel_mot_AI2ThorPT2P_td_ego_side.xlsx
AO,6000,noema,mot,AI2ThorPT2P_td_ego_side_arrow,78.2122905027933,358,358,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0006000_full_noema/eval/bagel_mot/bagel_mot_AI2ThorPT2P_td_ego_side_arrow.xlsx
AO,6000,noema,mot,AI2ThorPT2P_td_midpoint,75.20661157024794,242,242,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0006000_full_noema/eval/bagel_mot/bagel_mot_AI2ThorPT2P_td_midpoint.xlsx
AO,6000,noema,mot,AI2ThorPT2P_td_path,82.33082706766918,532,532,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0006000_full_noema/eval/bagel_mot/bagel_mot_AI2ThorPT2P_td_path.xlsx
AO,6000,noema,mot,AI2ThorPT2P_td_path_arrow,79.01234567901234,567,567,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0006000_full_noema/eval/bagel_mot/bagel_mot_AI2ThorPT2P_td_path_arrow.xlsx
AO,6000,noema,mot,AI2ThorPathTracing,84.10757946210269,409,409,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0006000_full_noema/eval/bagel_mot/bagel_mot_AI2ThorPathTracing.xlsx
AO,6000,noema,mot,AI2ThorPerspective_Arrow,53.51187816108419,278,278,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0006000_full_noema/eval/bagel_mot/bagel_mot_AI2ThorPerspective_Arrow.xlsx
AO,6000,noema,mot,AI2ThorPerspective_NoArrow,51.405941636142366,278,278,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0006000_full_noema/eval/bagel_mot/bagel_mot_AI2ThorPerspective_NoArrow.xlsx
AO,6000,noema,mot,SAT_perspective,40.909090909090914,66,66,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0006000_full_noema/eval/bagel_mot/bagel_mot_SAT_perspective.xlsx
AO,7500,ema,mot,AI2ThorPT2P_dh_midpoint,82.09876543209876,162,162,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0007500_full_ema/eval/AI2ThorPT2P_dh_midpoint/bagel_mot/bagel_mot_AI2ThorPT2P_dh_midpoint.xlsx
